key,english_source,ukrainian_auto,reviewer_notes,approved_translation
auto2.000,AI Template Matcher,Зіставлення шаблонів AI,,
auto2.001,AI Template Matcher uses these to accelerate project scoping,Зіставлення шаблонів AI використовує це для прискорення визначення обсягу проєкту,,
auto2.002,AI is analyzing your idea and creating a detailed scope...,AI аналізує вашу ідею та створює детальний обсяг робіт...,,
auto2.003,AI is analyzing your idea and creating structure...,AI аналізує вашу ідею та створює структуру...,,
auto2.004,AI will match your idea to past projects,AI зіставить вашу ідею з минулими проєктами,,
auto2.005,API key,API-ключ,,
auto2.006,Acceptance Queue,Черга прийняття,,
auto2.007,Action,Дія,,
auto2.008,Actions,Дії,,
auto2.009,Active Payment Provider,Активний платіжний провайдер,,
auto2.010,Actor,Актор,,
auto2.011,Additional Details (Optional),Додаткові деталі (опціонально),,
auto2.012,Admin notes,Примітки адміністратора,,
auto2.013,Admin required,Потрібен адміністратор,,
auto2.014,Agreement signed,Договір підписано,,
auto2.015,All,Всі,,
auto2.016,All caught up!,Все опрацьовано!,,
auto2.017,All three confirmations are required.,Потрібні всі три підтвердження.,,
auto2.018,Amount,Сума,,
auto2.019,Amount (USD),Сума (USD),,
auto2.020,Ask questions about your project,Запитайте про свій проєкт,,
auto2.021,Assigned To,Призначено,,
auto2.022,Attempts,Спроби,,
auto2.023,Available,Доступно,,
auto2.024,BETA,BETA,,
auto2.025,Back to Dashboard,Повернутися до панелі,,
auto2.026,Backend,Backend,,
auto2.027,Base hourly rate,Базова погодинна ставка,,
auto2.028,Batch,Пакет,,
auto2.029,Batch event log,Журнал подій пакета,,
auto2.030,Batch not found.,Пакет не знайдено.,,
auto2.031,Best Match,Найкращий збіг,,
auto2.032,Body,Тіло,,
auto2.033,Bookings,Бронювання,,
auto2.034,Bottlenecks & Risks,Вузькі місця та ризики,,
auto2.035,Bug Fix,Виправлення помилки,,
auto2.036,Cancel,Скасувати,,
auto2.037,Capacity,Потужність,,
auto2.038,Capacity View,Перегляд потужності,,
auto2.039,Capacity by Role,Потужність за роллю,,
auto2.040,"Capacity management, load balancing, and assignment control","Управління потужністю, балансування навантаження та контроль призначень",,
auto2.041,Case not found,Кейс не знайдено,,
auto2.042,Category,Категорія,,
auto2.043,Client ID,ID клієнта,,
auto2.044,Commit re-price,Зафіксувати переоцінку,,
auto2.045,Complexity,Складність,,
auto2.046,Confirm & sign,Підтвердити та підписати,,
auto2.047,Confirm regeneration,Підтвердити регенерацію,,
auto2.048,Control Center,Центр управління,,
auto2.049,Cookie consent overview,Огляд згоди на cookies,,
auto2.050,Cost,Вартість,,
auto2.051,Create Deliverable,Створити результат,,
auto2.052,Create Invoice,Створити рахунок,,
auto2.053,Create Module,Створити модуль,,
auto2.054,Create Project Scope,Створити обсяг проєкту,,
auto2.055,Credits,Кредити,,
auto2.056,Crit,Крит,,
auto2.057,Critical,Критичний,,
auto2.058,Critical Issues,Критичні проблеми,,
auto2.059,Currency,Валюта,,
auto2.060,Current chips,Поточні чіпи,,
auto2.061,Current snapshot,Поточний знімок,,
auto2.062,Dashboard,Панель,,
auto2.063,Deadline (hours),Дедлайн (години),,
auto2.064,Decline Task,Відхилити завдання,,
auto2.065,Default currency,Валюта за замовчуванням,,
auto2.066,Default model,Модель за замовчуванням,,
auto2.067,Describe completed work,Опишіть виконану роботу,,
